frase,situacao
"Sinto uma dor forte no peito que irradia para o braço esquerdo.",alto risco
"Estou com muita falta de ar mesmo em repouso.",alto risco
"Tive um desmaio súbito e meu coração está disparado.",alto risco
"Sinto um aperto no peito e suor frio.",alto risco
"Minha pressão subiu muito e estou com a visão embaçada.",alto risco
"Dor aguda no tórax que piora ao respirar fundo.",alto risco
"Sinto uma palpitação muito forte e tontura intensa.",alto risco
"Não consigo respirar direito, parece que estou sufocando.",alto risco
"Dor no peito acompanhada de náuseas e vômitos.",alto risco
"Tive uma perda súbita de força em um dos lados do corpo.",alto risco
"Inchaço repentino nas pernas e cansaço extremo.",alto risco
"Dor súbita e intensa na região lombar irradiando para o abdômen.",alto risco
"Sinto que meu coração vai sair pela boca e estou muito pálido.",alto risco
"Dificuldade de fala e confusão mental repentina.",alto risco
"Cefaleia explosiva e rigidez na nuca.",alto risco
"Sinto um peso enorme no peito e não consigo falar.",alto risco
"Minha respiração está muito rápida e curta, estou desesperado.",alto risco
"Dor torácica tipo facada e tossindo sangue.",alto risco
"Sinto formigamento no rosto e braço, com dificuldade de sorrir.",alto risco
"Tive uma convulsão e agora estou muito confuso.",alto risco
"Sinto um leve desconforto muscular nas costas.",baixo risco
"Estou com uma tosse seca há alguns dias.",baixo risco
"Sinto um pouco de cansaço após um dia longo de trabalho.",baixo risco
"Tenho uma dor de cabeça leve que passa com repouso.",baixo risco
"Sinto uma queimação no estômago depois de comer.",baixo risco
"Minha garganta está irritada, mas sem febre.",baixo risco
"Tive uma leve dor no pé após caminhar muito.",baixo risco
"Sinto um pouco de coriza e espirros.",baixo risco
"Tenho uma coceira na pele que apareceu hoje.",baixo risco
"Sinto um desconforto leve nas articulações.",baixo risco
"Tive um soluço que demorou a passar.",baixo risco
"Sinto meus olhos secos e um pouco vermelhos.",baixo risco
"Tenho uma pequena afta na boca que incomoda.",baixo risco
"Sinto uma leve tontura ao levantar muito rápido.",baixo risco
"Minha unha encravada está doendo um pouco.",baixo risco
"Estou com gases e me sinto um pouco estufado.",baixo risco
"Sinto uma leve cãibra na panturrilha.",baixo risco
"Tenho uma mancha pequena na pele que não coça.",baixo risco
"Minha voz está um pouco rouca hoje.",baixo risco
"Sinto um leve formigamento na mão por dormir em cima dela.",baixo risco
